,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
11,13,Apr 17,SFG,LAD,"W,3-2",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.217,.315,.674,.989,3,1.63,0.183,2.01,0.14%,LF,6,0.655
12,14,Apr 18,SFG,LAD,"W,5-4",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.220,.310,.700,1.010,3,1.05,0.149,1.32,0.11%,LF,7,0.804
13,15,Apr 19,SFG,LAD,"L,1-10",GS-7,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.226,.311,.679,.991,3,0.35,-0.004,.46,0.00%,LF,7,0.8
14,16,Apr 20,SFG,MIL,"W,3-1",CG,4,3,1,1,0,0,1,2,1,1,1,0,0,0,0,0,0,0,.232,.323,.714,1.037,3,0.71,0.224,.81,0.15%,LF,8,1.024
15,17,Apr 21,SFG,MIL,"L,3-6",9-GF,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.228,.318,.702,1.020,8,2.66,-0.058,3.05,-0.04%,PH,8,0.966
16,18,Apr 22,SFG,MIL,"W,6-4",CG,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,.220,.329,.678,1.007,3,1.32,0.057,1.49,0.04%,LF,8,1.023
17,19,Apr 24,SFG,CIN,"L,5-9",CG,4,2,1,1,0,0,1,2,2,0,0,0,0,0,0,0,1,0,.230,.351,.721,1.073,3,0.86,0.222,1.02,0.16%,LF,9,1.2449999999999999
18,20,Apr 25,SFG,CIN,"L,5-7",CG,5,4,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,.231,.354,.708,1.062,3,1.28,0.015,1.47,0.01%,LF,9,1.2599999999999998
19,21,Apr 26,SFG,CIN,"L,5-7",CG,5,4,1,2,1,0,1,3,1,0,1,0,0,0,0,0,0,0,.246,.369,.754,1.123,3,0.72,0.11,.77,0.07%,LF,10,1.3699999999999999
20,22,Apr 27,SFG,CHC,"L,3-7",GS-8,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.239,.368,.732,1.100,3,0.71,0.01,.73,0.01%,LF,10,1.38
21,24 (1),Apr 29,SFG,CHC,"L,2-11",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.240,.363,.747,1.109,3,0.55,0.103,.57,0.06%,LF,11,1.4829999999999999
23,25,May 1,SFG,PIT,"W,11-6",GS-7,5,1,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,.237,.385,.737,1.122,3,0.57,0.063,.54,0.04%,LF,11,1.5459999999999998
24,26,May 2,SFG,PIT,"W,7-6",CG,5,5,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.235,.376,.741,1.117,3,0.82,0.083,.87,0.05%,LF,12,1.6289999999999998
25,27,May 3,SFG,PIT,"L,3-4",CG,5,3,1,3,0,0,1,2,2,0,0,0,0,0,0,0,0,0,.262,.406,.786,1.191,3,1.92,0.378,2.08,0.25%,LF,13,2.0069999999999997
26,28,May 4,SFG,PHI,"W,4-2",CG,4,2,1,1,0,0,1,2,2,0,1,0,0,0,0,0,1,0,.267,.418,.814,1.232,3,0.7,0.268,.73,0.17%,LF,14,2.2749999999999995
27,29,May 5,SFG,PHI,"L,2-4",CG,5,3,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.258,.417,.787,1.204,3,0.96,-0.003,1.04,0.00%,LF,14,2.2719999999999994
28,30,May 6,SFG,PHI,"L,8-10",8-8,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.256,.414,.778,1.192,3,1.98,-0.048,2.07,-0.03%,PH,14,2.2239999999999993
29,31,May 7,SFG,MON,"W,6-2",CG,4,2,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,.272,.433,.783,1.216,3,0.68,0.08,.68,0.05%,LF,14,2.3039999999999994
30,32,May 8,SFG,MON,"W,9-1",GS-8,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.266,.435,.766,1.201,3,0.76,-0.019,.79,-0.01%,LF,14,2.2849999999999993
31,33,May 9,SFG,MON,"L,0-8",GS-7,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,.258,.425,.742,1.167,3,0.9,-0.063,.97,-0.04%,LF,14,2.221999999999999
32,35 (1),May 11,SFG,NYM,"W,3-2",CG(10),5,3,2,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,.260,.432,.760,1.192,3,2.12,0.242,2.21,0.15%,LF,15,2.463999999999999
33,36,May 12,SFG,NYM,"W,10-3",GS-7,4,3,2,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,.272,.441,.777,1.218,3,0.7,0.127,.78,0.09%,LF,15,2.5909999999999993
34,37,May 13,SFG,NYM,"W,6-3",CG,4,4,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,.271,.436,.766,1.202,3,0.34,0.027,.41,0.02%,LF,15,2.6179999999999994
35,38,May 15,SFG,FLA,"W,7-4",GS-9,5,4,1,1,1,0,0,1,1,0,2,0,0,0,0,0,0,0,.270,.434,.757,1.191,3,0.86,0.174,1.05,0.13%,LF,15,2.7919999999999994
36,39,May 16,SFG,FLA,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.270,.430,.739,1.169,3,1.46,-0.013,1.84,-0.01%,LF,15,2.7789999999999995
37,40,May 17,SFG,FLA,"L,3-8",CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.271,.431,.754,1.186,3,0.99,0.048,1.18,0.04%,LF,16,2.8269999999999995
38,41,May 18,SFG,ATL,"L,5-6",CG,4,3,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,.273,.433,.769,1.202,3,1.43,0.176,1.67,0.12%,LF,17,3.0029999999999997
39,42,May 19,SFG,ATL,"W,6-3",CG,5,5,3,4,1,0,3,3,0,0,1,0,0,0,0,0,0,0,.294,.444,.849,1.294,3,1.11,0.482,1.28,0.33%,LF,20,3.4849999999999994
40,43,May 20,SFG,ATL,"L,6-11",GS-8,4,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,.305,.458,.898,1.356,3,0.65,0.188,.80,0.14%,LF,22,3.6729999999999996
41,44,May 21,SFG,ARI,"L,2-4",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.303,.453,.902,1.354,3,0.93,0.048,1.25,0.04%,LF,23,3.7209999999999996
42,45,May 22,SFG,ARI,"L,8-12",CG,5,3,1,2,0,0,1,2,2,1,0,0,0,0,0,0,0,0,.311,.463,.919,1.381,3,0.65,0.037,.82,0.03%,LF,24,3.7579999999999996
43,46,May 23,SFG,ARI,"W,5-1",CG,4,4,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,.317,.464,.906,1.370,4,0.79,0.053,.96,0.04%,LF,24,3.8109999999999995
44,47,May 24,SFG,COL,"W,5-1",CG,4,3,2,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,.317,.464,.915,1.380,3,0.37,0.096,.44,0.07%,LF,25,3.9069999999999996
45,48,May 25,SFG,COL,"L,1-6",CG,4,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.319,.471,.910,1.380,4,0.92,0.086,1.16,0.07%,LF,25,3.9929999999999994
46,50 (1),May 27,SFG,COL,"W,5-4",CG,4,3,1,1,0,0,1,2,0,0,2,1,0,0,0,0,0,0,.320,.471,.918,1.390,4,0.77,0.11,.88,0.08%,LF,26,4.103
47,51,May 28,SFG,ARI,"L,1-2",CG(12),5,4,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,.311,.464,.894,1.358,4,1.8,-0.194,2.20,-0.14%,LF,26,3.909
48,52,May 29,SFG,ARI,"L,0-1",CG(18),8,5,0,0,0,0,0,0,3,3,1,0,0,0,0,1,0,0,.301,.461,.865,1.326,3,2.71,-0.381,3.04,-0.26%,LF,26,3.5279999999999996
49,53,May 30,SFG,ARI,"L,3-4",CG,4,3,2,2,0,0,2,3,1,0,0,0,0,0,0,0,0,0,.308,.466,.899,1.366,4,1.07,0.277,1.13,0.18%,LF,28,3.8049999999999997
51,54,Jun 1,SFG,COL,"W,11-7",CG,5,2,3,1,0,0,1,2,3,2,0,0,0,0,0,0,0,0,.311,.474,.913,1.387,4,0.88,0.193,.76,0.10%,LF,29,3.9979999999999998
52,55,Jun 2,SFG,COL,"L,5-7",CG,5,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.305,.472,.896,1.369,4,1.53,-0.142,1.50,-0.08%,LF,29,3.856
53,56,Jun 3,SFG,COL,"L,2-11",GS-7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.299,.466,.880,1.346,4,0.38,-0.031,.34,-0.02%,LF,29,3.8249999999999997
54,57,Jun 4,SFG,SDP,"W,3-1",CG,4,2,1,2,0,0,1,2,1,1,0,0,0,1,0,0,0,0,.308,.471,.899,1.371,4,0.64,0.106,.49,0.05%,LF,30,3.9309999999999996
55,58,Jun 5,SFG,SDP,"W,7-6",CG,5,3,3,2,0,0,1,2,2,0,1,0,0,0,0,0,0,0,.314,.478,.913,1.391,4,1.23,0.258,1.05,0.13%,LF,31,4.189
