,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
84,89,Jul 12,SFG,SEA,"L,3-4",CG(11),5,5,1,2,0,0,1,1,0,0,3,0,0,0,0,0,0,0,.307,.486,.830,1.316,3,0.84,0.049,.97,0.03%,DH,40,5.787000000000003
85,90,Jul 13,SFG,SEA,"W,5-3",CG,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.305,.482,.818,1.300,3,0.63,0.006,.70,0.00%,LF,40,5.793000000000003
86,91,Jul 14,SFG,SEA,"L,2-3",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.300,.477,.806,1.283,3,1.08,-0.117,1.29,-0.08%,DH,40,5.676000000000003
87,92,Jul 15,SFG,TEX,"W,7-6",CG,5,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.296,.473,.794,1.267,3,0.88,-0.079,.96,-0.05%,LF,40,5.597000000000003
88,93,Jul 16,SFG,TEX,"L,0-2",CG,4,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,.295,.476,.791,1.268,3,1.13,0.036,1.34,0.03%,DH,40,5.633000000000003
89,94,Jul 17,SFG,TEX,"W,10-2",GS-9,4,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,.296,.479,.793,1.272,3,0.8,0.029,.84,0.02%,DH,40,5.662000000000003
90,95,Jul 18,SFG,COL,"W,10-0",GS-6,3,3,2,2,0,0,2,3,0,0,1,0,0,0,0,0,0,0,.300,.481,.813,1.293,3,0.99,0.213,1.15,0.15%,LF,42,5.875000000000003
91,96,Jul 19,SFG,COL,"W,2-1",CG,5,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,.298,.482,.807,1.289,3,2.09,0.146,2.49,0.10%,LF,42,6.021000000000003
92,97,Jul 20,SFG,ARI,"W,1-0",CG,4,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.296,.482,.801,1.284,3,0.58,-0.022,.95,-0.02%,LF,42,5.999000000000002
93,98,Jul 21,SFG,ARI,"L,2-9",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.292,.477,.790,1.268,3,0.63,-0.078,1.12,-0.08%,LF,42,5.921000000000002
