,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count
37,"Sunday, May 13",SEA,@,TOR,W,7.0,5.0,9.0,28-9,1.0,up11.0,Moyer,Loaiza,Sasaki,3:09,D,20624.0,.66,5,,28
38,"Tuesday, May 15",SEA,Home,CHW,W,4.0,3.0,9.0,29-9,1.0,up12.0,Nelson,Howry,Paniagua,3:16,N,31096.0,.61,6,,29
39,"Wednesday, May 16",SEA,Home,CHW,W,7.0,2.0,9.0,30-9,1.0,up12.0,Abbott,Biddle,Paniagua,2:58,N,33748.0,.55,7,,30
40,"Thursday, May 17",SEA,Home,CHW,W,5.0,1.0,9.0,31-9,1.0,up12.0,Garcia,Wells,Nelson,2:53,D,43510.0,.53,8,,31
41,"Friday, May 18",SEA,Home,NYY,L,10.0,14.0,9.0,31-10,1.0,up12.0,Mendoza,Halama,None,3:31,N,45794.0,.49,-1,,31
42,"Saturday, May 19",SEA,Home,NYY,L,1.0,2.0,10.0,31-11,1.0,up11.0,Stanton,Sasaki,Rivera,3:20,D,45880.0,.57,-2,,31
43,"Sunday, May 20",SEA,Home,NYY,W,6.0,2.0,9.0,32-11,1.0,up11.0,Sele,Clemens,None,2:50,D,45953.0,.61,1,,32
44,"Tuesday, May 22",SEA,@,MIN,L,11.0,12.0,9.0,32-12,1.0,up10.0,Wells,Abbott,None,3:28,N,29005.0,.62,-1,,32
45,"Wednesday, May 23",SEA,@,MIN,W,5.0,4.0,9.0,33-12,1.0,up11.0,Rhodes,Carrasco,Sasaki,3:18,D,26605.0,.71,1,,33
46,"Friday, May 25",SEA,@,KCR,W,9.0,6.0,9.0,34-12,1.0,up11.0,Franklin,Grimsley,Sasaki,3:08,N,17555.0,.57,2,,34
47,"Saturday, May 26",SEA,@,KCR,W,7.0,2.0,9.0,35-12,1.0,up11.5,Sele,Meadows,None,2:55,N,21368.0,.52,3,,35
48,"Sunday, May 27",SEA,@,KCR,W,5.0,4.0,11.0,36-12,1.0,up12.5,Charlton,Santiago,None,3:27,D,19524.0,.47,4,,36
49,"Monday, May 28",SEA,@,KCR,W,13.0,3.0,9.0,37-12,1.0,up13.0,Abbott,Durbin,None,2:57,D,20142.0,.39,5,,37
50,"Tuesday, May 29",SEA,Home,BAL,W,3.0,2.0,9.0,38-12,1.0,up14.0,Garcia,Roberts,Sasaki,2:40,N,30413.0,.36,6,,38
51,"Wednesday, May 30",SEA,Home,BAL,W,12.0,5.0,9.0,39-12,1.0,up14.0,Halama,Johnson,None,3:43,N,34757.0,.29,7,,39
52,"Thursday, May 31",SEA,Home,BAL,W,2.0,1.0,9.0,40-12,1.0,up14.0,Sele,Mercedes,Sasaki,2:44,N,37612.0,.26,8,,40
53,"Friday, Jun 1",SEA,Home,TBD,W,8.0,4.0,9.0,41-12,1.0,up15.0,Moyer,Rekar,Nelson,3:23,N,41094.0,.24,9,,41
54,"Saturday, Jun 2",SEA,Home,TBD,W,7.0,4.0,9.0,42-12,1.0,up16.0,Abbott,Rupe,Sasaki,3:18,N,45473.0,.20,10,,42
55,"Sunday, Jun 3",SEA,Home,TBD,W,8.0,4.0,9.0,43-12,1.0,up16.0,Garcia,Sturtze,Sasaki,3:16,D,45390.0,.17,11,,43
56,"Monday, Jun 4",SEA,Home,TEX,W,11.0,6.0,9.0,44-12,1.0,up16.5,Franklin,Venafro,None,3:02,N,45812.0,.18,12,,44
57,"Tuesday, Jun 5",SEA,Home,TEX,W,5.0,4.0,9.0,45-12,1.0,up16.5,Paniagua,Smart,Sasaki,2:56,N,44853.0,.14,13,,45
58,"Wednesday, Jun 6",SEA,Home,TEX,W,7.0,3.0,9.0,46-12,1.0,up17.5,Moyer,Oliver,None,3:14,N,45754.0,.12,14,,46
59,"Friday, Jun 8",SEA,Home,SDP,W,7.0,1.0,9.0,47-12,1.0,up17.0,Abbott,Jarvis,None,2:43,N,45293.0,.09,15,,47
60,"Saturday, Jun 9",SEA,Home,SDP,L,3.0,6.0,9.0,47-13,1.0,up17.0,Jones,Garcia,Hoffman,3:03,N,45322.0,.09,-1,,47
61,"Sunday, Jun 10",SEA,Home,SDP,W,8.0,1.0,9.0,48-13,1.0,up17.0,Halama,Loewer,None,2:47,D,45418.0,.09,1,,48
62,"Tuesday, Jun 12",SEA,@,COL,W,10.0,9.0,9.0,49-13,1.0,up18.0,Fuentes,Acevedo,Sasaki,3:24,N,41263.0,.09,2,,49
63,"Thursday, Jun 14 (1)",SEA,@,COL,L,2.0,8.0,9.0,49-14,1.0,up18.0,Chacon,Moyer,None,2:40,D,45261.0,.07,-1,2001-06-13 (Rain),49
64,"Thursday, Jun 14 (2)",SEA,@,COL,W,5.0,1.0,9.0,50-14,1.0,up18.0,Abbott,Astacio,None,2:43,N,37048.0,.09,1,,50
65,"Friday, Jun 15",SEA,@,SDP,W,8.0,4.0,9.0,51-14,1.0,up19.0,Garcia,Jones,None,3:09,N,60918.0,.06,2,,51
66,"Saturday, Jun 16",SEA,@,SDP,W,9.0,2.0,9.0,52-14,1.0,up20.0,Halama,Loewer,None,3:03,N,61065.0,.05,3,,52
