,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count
1,"Tuesday, Apr 12",NYY,Home,PHA,W,8.0,3.0,9.0,1-0,1.0,Tied,Hoyt,Grove,None,2:05,D,72000.0,2.55,1,,1
2,"Wednesday, Apr 13",NYY,Home,PHA,W,10.0,4.0,9.0,2-0,1.0,up 0.5,Ruether,Gray,None,2:15,D,8000.0,2.71,2,,2
3,"Thursday, Apr 14",NYY,Home,PHA,T,9.0,9.0,10.0,2-0,1.0,Tied,None,None,None,2:50,D,9000.0,2.84,2,,2
4,"Friday, Apr 15",NYY,Home,PHA,W,6.0,3.0,9.0,3-0,1.0,Tied,Pennock,Ehmke,None,2:27,D,16000.0,2.86,3,,3
5,"Saturday, Apr 16",NYY,Home,BOS,W,5.0,2.0,9.0,4-0,1.0,up 1.0,Shocker,Ruffing,None,2:05,D,25000.0,3.00,4,,4
6,"Sunday, Apr 17",NYY,Home,BOS,W,14.0,2.0,9.0,5-0,1.0,up 2.0,Hoyt,Russell,None,2:01,D,35000.0,3.18,5,,5
7,"Monday, Apr 18",NYY,Home,BOS,W,3.0,0.0,9.0,6-0,1.0,up 2.0,Ruether,Harriss,None,1:29,D,10000.0,3.36,6,,6
8,"Tuesday, Apr 19",NYY,Home,BOS,L,3.0,6.0,9.0,6-1,1.0,up 1.5,Wiltse,Shawkey,None,1:59,D,8000.0,3.59,-1,,6
9,"Wednesday, Apr 20",NYY,@,PHA,L,5.0,8.0,9.0,6-2,1.0,up 1.0,Quinn,Shocker,None,2:10,D,35000.0,3.60,-2,,6
10,"Thursday, Apr 21",NYY,@,PHA,W,13.0,6.0,9.0,7-2,1.0,up 1.5,Moore,Rommel,None,2:30,D,15000.0,3.31,1,,7
11,"Saturday, Apr 23",NYY,@,PHA,L,3.0,4.0,9.0,7-3,1.0,up 1.0,Walberg,Moore,None,1:57,D,35000.0,3.59,-1,,7
12,"Sunday, Apr 24",NYY,@,WSH,W,6.0,2.0,9.0,8-3,1.0,up 1.0,Shocker,Thurston,None,2:15,D,20000.0,3.34,1,,8
13,"Monday, Apr 25",NYY,Home,WSH,L,4.0,5.0,9.0,8-4,1.0,up 1.0,Lisenbee,Hoyt,None,2:39,D,3000.0,3.54,-1,,8
14,"Friday, Apr 29",NYY,@,BOS,W,9.0,0.0,9.0,9-4,1.0,up 0.5,Ruether,Harriss,None,Unknown,D,,3.12,1,,9
15,"Saturday, Apr 30",NYY,@,BOS,L,2.0,3.0,9.0,9-5,1.0,Tied,Wiltse,Shocker,None,Unknown,D,15000.0,3.34,-1,,9
16,"Sunday, May 1",NYY,Home,PHA,W,7.0,3.0,9.0,10-5,1.0,up 1.0,Pennock,Quinn,None,2:02,D,70000.0,3.58,1,,10
17,"Monday, May 2",NYY,@,WSH,W,9.0,6.0,9.0,11-5,1.0,up 1.0,Hoyt,Coveleski,Moore,2:16,D,7500.0,3.64,2,,11
18,"Tuesday, May 3",NYY,@,WSH,W,6.0,4.0,9.0,12-5,1.0,up 1.0,Moore,Marberry,None,2:30,D,6000.0,3.72,3,,12
19,"Wednesday, May 4",NYY,@,WSH,L,4.0,7.0,9.0,12-6,1.0,up 0.5,Thurston,Ruether,Braxton,Unknown,D,3000.0,3.97,-1,,12
20,"Thursday, May 5",NYY,@,WSH,L,1.0,6.0,9.0,12-7,1.0,up 0.5,Lisenbee,Shocker,None,2:05,D,8000.0,3.95,-2,,12
21,"Saturday, May 7",NYY,@,CHW,W,8.0,0.0,9.0,13-7,1.0,up 1.5,Pennock,Lyons,None,Unknown,D,37000.0,3.99,1,,13
22,"Sunday, May 8",NYY,@,CHW,W,9.0,0.0,9.0,14-7,1.0,up 2.5,Hoyt,Blankenship,None,2:06,D,52000.0,4.25,2,,14
23,"Monday, May 9",NYY,@,CHW,L,1.0,2.0,10.0,14-8,1.0,up 2.0,Faber,Moore,None,Unknown,D,12000.0,4.52,-1,,14
24,"Tuesday, May 10",NYY,@,SLB,W,8.0,7.0,9.0,15-8,1.0,up 2.0,Moore,Gaston,Pennock,Unknown,D,7500.0,4.21,1,,15
25,"Wednesday, May 11",NYY,@,SLB,W,4.0,2.0,9.0,16-8,1.0,up 2.0,Shocker,Nevers,None,1:49,D,1500.0,4.41,2,,16
26,"Thursday, May 12",NYY,@,SLB,W,4.0,3.0,9.0,17-8,1.0,up 2.0,Pennock,Jones,None,Unknown,D,5000.0,4.63,3,,17
27,"Friday, May 13",NYY,@,SLB,W,3.0,1.0,9.0,18-8,1.0,up 2.5,Hoyt,Wingard,None,Unknown,D,2500.0,4.75,4,,18
28,"Monday, May 16",NYY,@,DET,W,6.0,2.0,9.0,19-8,1.0,up 3.0,Ruether,Holloway,Moore,2:28,D,4000.0,5.15,5,,19
29,"Tuesday, May 17",NYY,@,DET,W,9.0,2.0,9.0,20-8,1.0,up 4.0,Pennock,Collins,None,2:46,D,15000.0,5.25,6,,20
30,"Thursday, May 19",NYY,@,CLE,W,4.0,3.0,9.0,21-8,1.0,up 4.0,Moore,Buckeye,None,1:45,D,4000.0,5.15,7,,21
31,"Friday, May 20",NYY,@,CLE,L,1.0,2.0,9.0,21-9,1.0,up 4.0,Uhle,Hoyt,None,1:47,D,8000.0,5.27,-1,1927-05-18 (Rain),21
32,"Saturday, May 21",NYY,@,CLE,L,4.0,5.0,12.0,21-10,1.0,up 3.0,Hudlin,Moore,None,3:02,D,15000.0,5.13,-2,,21
33,"Sunday, May 22",NYY,@,CLE,W,7.0,2.0,9.0,22-10,1.0,up 4.0,Shocker,Shaute,None,2:13,D,23000.0,5.18,1,,22
34,"Monday, May 23",NYY,@,WSH,L,2.0,3.0,9.0,22-11,1.0,up 3.0,Thurston,Thomas,Marberry,Unknown,D,9000.0,5.38,-1,,22
35,"Friday, May 27 (1)",NYY,Home,WSH,L,2.0,7.0,9.0,22-12,1.0,up 1.0,Lisenbee,Pennock,None,2:24,D,25000.0,5.39,-2,1927-04-26 (Cold),22
36,"Friday, May 27 (2)",NYY,Home,WSH,W,5.0,0.0,9.0,23-12,1.0,up 1.0,Hoyt,Hadley,None,Unknown,D,25000.0,5.33,1,,23
37,"Saturday, May 28 (1)",NYY,Home,WSH,W,8.0,2.0,9.0,24-12,1.0,up 1.5,Shocker,Thurston,None,Unknown,D,35000.0,5.26,2,1927-04-27 (Rain),24
