,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count
105,106,Aug 5,NYY,DET,"W,5-2",CG,4,4,3,2,1,0,1,1,0,0,0,0,0,,0,,0,0,.371,.503,.753,1.257,3,.67,0.027,.49,0.01%,RF,35
106,107,Aug 6,NYY,CHW,"L,3-6",CG,4,4,0,0,0,0,0,0,0,0,2,0,0,,0,,0,0,.367,.499,.745,1.244,3,.92,-0.098,.65,-0.04%,RF,35
107,108,Aug 7,NYY,CHW,"W,4-3",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,,0,,0,0,.364,.497,.739,1.236,3,.97,-0.065,.66,-0.03%,RF,35
108,109,Aug 9,NYY,PHA,"L,1-8",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,.360,.493,.731,1.224,3,.88,-0.080,.40,-0.02%,LF,35
109,110,Aug 10,NYY,WSH,"W,4-3",CG,5,4,1,3,0,0,1,4,1,0,0,0,0,,0,,0,0,.364,.496,.739,1.235,3,.94,0.228,1.19,0.17%,RF,36
110,111,Aug 11,NYY,WSH,"L,2-3",CG(11),5,4,0,0,0,0,0,0,1,0,1,0,0,,0,,1,0,.361,.493,.732,1.224,3,1.79,-0.038,1.30,-0.02%,RF,36
111,112,Aug 13,NYY,WSH,"W,6-3",GS-9,5,3,1,1,0,0,0,0,2,0,1,0,0,,0,,0,0,.360,.494,.728,1.222,3,1.06,0.010,1.02,0.01%,RF,36
112,113,Aug 14,NYY,WSH,"W,6-2",CG,5,5,1,1,0,0,0,3,0,0,1,0,0,,0,,0,0,.358,.491,.722,1.212,3,.74,0.046,.39,0.02%,RF,36
113,114,Aug 16,NYY,CHW,"W,8-1",CG,5,3,2,2,1,0,1,2,2,0,0,0,0,,0,,0,0,.361,.494,.731,1.225,3,.51,0.119,.08,0.01%,LF,37
114,115,Aug 17,NYY,CHW,"W,3-2",CG(11),5,4,1,1,0,0,1,1,1,0,2,0,0,,0,,0,0,.359,.493,.734,1.227,3,1.92,0.254,.22,0.02%,LF,38
115,116,Aug 18,NYY,CHW,"W,5-4",CG(12),6,5,0,1,1,0,0,0,0,0,2,0,1,,0,,0,0,.358,.490,.730,1.220,3,1.64,0.050,.13,0.00%,LF,38
116,117,Aug 19,NYY,CHW,"L,2-3",CG,4,3,0,1,0,0,0,0,1,0,1,0,0,,0,,0,0,.357,.490,.727,1.217,3,.78,0.034,.03,0.00%,LF,38
117,118,Aug 20,NYY,CLE,"L,8-14",GS-8,4,3,1,1,0,0,1,3,1,0,0,0,0,,0,,0,0,.357,.490,.732,1.222,3,1.56,0.170,.07,0.00%,RF,39
118,119,Aug 21,NYY,CLE,"L,4-7",GS-1,1,1,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,.359,.491,.732,1.223,3,.41,0.012,.02,0.00%,RF,39
119,120,Aug 22,NYY,CLE,"L,4-9",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,,0,,0,0,.359,.491,.737,1.228,3,.45,0.016,.02,0.00%,RF,40
120,121,Aug 24,NYY,DET,"W,9-5",CG,5,2,0,0,0,0,0,1,2,0,0,0,0,,0,,0,0,.357,.491,.733,1.224,3,1.53,-0.031,.25,0.00%,LF,40
121,122,Aug 25,NYY,DET,"W,8-2",CG,5,2,1,0,0,0,0,0,3,0,0,0,0,,0,,0,0,.355,.492,.729,1.222,3,.87,0.101,.05,0.00%,LF,40
122,123,Aug 26,NYY,DET,"W,8-6",CG,5,4,1,2,1,1,0,3,1,0,1,0,0,,0,,0,0,.356,.493,.734,1.228,3,1.90,0.301,.06,0.01%,LF,40
