,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
31,"Saturday, May 20",NYY,@,CLE,L,3.0,4.0,9.0,16-14,4.0,5.0,Funk,Stafford,None,2:38,D,8431.0,2.69,-4,,16,6.0
32,"Sunday, May 21 (1)",NYY,Home,BAL,W,4.0,2.0,9.0,17-14,3.0,5.5,Ford,Estrada,None,2:22,D,,2.37,1,,17,8.0
33,"Sunday, May 21 (2)",NYY,Home,BAL,L,2.0,3.0,9.0,17-15,3.0,5.5,Barber,Sheldon,Wilhelm,2:37,D,47890.0,2.72,-1,,17,7.0
34,"Monday, May 22",NYY,Home,BAL,W,8.0,2.0,9.0,18-15,3.0,5.5,Coates,Fisher,Arroyo,2:43,N,16923.0,2.52,1,,18,13.0
35,"Wednesday, May 24",NYY,Home,BOS,W,3.0,2.0,9.0,19-15,3.0,6.0,Terry,Nichols,None,2:29,D,7673.0,2.25,2,,19,14.0
36,"Thursday, May 25",NYY,Home,BOS,W,6.0,4.0,9.0,20-15,3.0,5.0,Ford,Muffett,Arroyo,2:11,N,13087.0,2.26,3,,20,16.0
37,"Sunday, May 28 (1)",NYY,Home,CHW,L,9.0,14.0,9.0,20-16,3.0,4.5,Lown,Arroyo,Pierce,3:28,D,,2.57,-1,,20,11.0
38,"Sunday, May 28 (2)",NYY,Home,CHW,W,5.0,3.0,9.0,21-16,3.0,4.5,Coates,McLish,None,2:33,D,44435.0,2.27,1,,21,13.0
39,"Monday, May 29",NYY,@,BOS,L,1.0,2.0,9.0,21-17,3.0,5.0,Delock,Ford,None,2:09,N,21804.0,2.70,-1,,21,12.0
40,"Tuesday, May 30",NYY,@,BOS,W,12.0,3.0,9.0,22-17,4.0,4.5,Stafford,Conley,Coates,2:56,D,19582.0,2.64,1,,22,21.0
41,"Wednesday, May 31",NYY,@,BOS,W,7.0,6.0,9.0,23-17,3.0,3.5,Sheldon,Muffett,McDevitt,2:52,N,17318.0,2.57,2,,23,22.0
42,"Thursday, Jun 1",NYY,@,BOS,L,5.0,7.0,9.0,23-18,3.0,4.0,Monbouquette,Turley,Stallard,3:08,D,5257.0,2.97,-1,,23,20.0
43,"Friday, Jun 2",NYY,@,CHW,W,6.0,2.0,9.0,24-18,3.0,4.0,Ford,McLish,None,2:06,N,38410.0,2.72,1,,24,24.0
44,"Saturday, Jun 3",NYY,@,CHW,L,5.0,6.0,13.0,24-19,3.0,5.0,Hacker,Ditmar,None,3:26,D,16480.0,2.89,-1,,24,23.0
45,"Sunday, Jun 4",NYY,@,CHW,W,10.0,1.0,9.0,25-19,3.0,5.5,Stafford,Pierce,None,2:38,D,28362.0,2.46,1,,25,32.0
46,"Monday, Jun 5 (1)",NYY,Home,MIN,W,6.0,2.0,9.0,26-19,3.0,4.0,Coates,Lee,Arroyo,2:28,D,,2.28,2,1961-04-13 (Rain),26,36.0
