,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count,scorediff
82,"Sunday, Jul 9 (1)",NYY,Home,BOS,W,3.0,0.0,9.0,53-28,2.0,0.5,Sheldon,Monbouquette,None,2:18,D,,5.93,5,,53,126.0
83,"Sunday, Jul 9 (2)",NYY,Home,BOS,L,6.0,9.0,9.0,53-29,2.0,0.5,Schwall,Terry,Earley,3:05,D,47875.0,5.68,-1,,53,123.0
84,"Thursday, Jul 13",NYY,@,CHW,W,6.0,2.0,9.0,54-29,1.0,Tied,Stafford,Wynn,Arroyo,2:28,N,43960.0,5.48,1,,54,127.0
85,"Friday, Jul 14",NYY,@,CHW,L,1.0,6.0,9.0,54-30,1.0,Tied,Pizarro,Sheldon,None,2:36,N,43450.0,5.59,-1,,54,122.0
86,"Saturday, Jul 15",NYY,@,CHW,W,9.0,8.0,10.0,55-30,1.0,Tied,Arroyo,Hacker,None,3:38,D,37730.0,5.63,1,,55,123.0
87,"Sunday, Jul 16",NYY,@,BAL,W,2.0,1.0,9.0,56-30,2.0,0.5,Daley,Barber,None,2:10,D,38487.0,6.33,2,,56,124.0
88,"Monday, Jul 17",NYY,@,BAL,W,5.0,0.0,9.0,57-30,2.0,0.5,Ford,Pappas,None,2:18,D,44332.0,6.25,3,,57,129.0
89,"Tuesday, Jul 18",NYY,@,WSA,W,5.0,3.0,9.0,58-30,1.0,up 0.5,Arroyo,McClain,None,2:31,N,17695.0,5.57,4,,58,131.0
90,"Wednesday, Jul 19 (1)",NYY,@,WSA,L,4.0,8.0,9.0,58-31,1.0,Tied,Daniels,Daley,None,2:31,D,,5.67,-1,,58,127.0
91,"Wednesday, Jul 19 (2)",NYY,@,WSA,L,2.0,12.0,9.0,58-32,1.0,Tied,Donovan,Downing,None,2:34,N,27126.0,5.51,-2,,58,117.0
92,"Friday, Jul 21",NYY,@,BOS,W,11.0,8.0,9.0,59-32,1.0,up 0.5,Arroyo,Earley,None,3:39,N,32186.0,5.78,1,,59,120.0
93,"Saturday, Jul 22",NYY,@,BOS,W,11.0,9.0,9.0,60-32,1.0,up 1.0,Arroyo,Conley,None,3:27,D,25089.0,5.85,2,,60,122.0
94,"Sunday, Jul 23",NYY,@,BOS,L,4.0,5.0,9.0,60-33,2.0,0.5,Schwall,Daley,None,2:24,D,28575.0,5.54,-1,,60,121.0
95,"Tuesday, Jul 25 (1)",NYY,Home,CHW,W,5.0,1.0,9.0,61-33,1.0,up 0.5,Ford,Baumann,Arroyo,2:07,D,,5.64,1,1961-05-27 (Rain),61,125.0
96,"Tuesday, Jul 25 (2)",NYY,Home,CHW,W,12.0,0.0,9.0,62-33,1.0,up 0.5,Stafford,Pizarro,None,2:25,N,46240.0,5.80,2,,62,137.0
97,"Wednesday, Jul 26",NYY,Home,CHW,W,5.0,2.0,9.0,63-33,1.0,up 0.5,Sheldon,Herbert,None,2:06,D,22366.0,5.74,3,,63,140.0
98,"Thursday, Jul 27",NYY,Home,CHW,W,4.0,3.0,9.0,64-33,1.0,up 1.0,Terry,Pierce,Arroyo,2:38,N,20529.0,5.82,4,1961-05-26 (Rain),64,141.0
99,"Friday, Jul 28",NYY,Home,BAL,L,0.0,4.0,9.0,64-34,1.0,up 1.0,Brown,Daley,None,2:00,N,39623.0,6.09,-1,,64,137.0
100,"Saturday, Jul 29",NYY,Home,BAL,W,5.0,4.0,9.0,65-34,1.0,up 2.0,Ford,Fisher,None,2:08,D,42990.0,6.48,1,,65,138.0
101,"Sunday, Jul 30 (1)",NYY,Home,BAL,L,0.0,4.0,9.0,65-35,1.0,up 1.5,Barber,Stafford,None,2:30,D,,5.62,-1,,65,134.0
102,"Sunday, Jul 30 (2)",NYY,Home,BAL,L,1.0,2.0,9.0,65-36,1.0,up 1.5,Pappas,Daley,Hall,2:53,D,57180.0,5.94,-2,,65,133.0
103,"Wednesday, Aug 2 (1)",NYY,Home,KCA,W,6.0,5.0,9.0,66-36,1.0,up 2.5,Arroyo,Archer,None,2:36,D,,5.91,1,,66,134.0
104,"Wednesday, Aug 2 (2)",NYY,Home,KCA,W,12.0,5.0,9.0,67-36,1.0,up 2.5,Terry,Ditmar,Reniff,2:16,D,23616.0,5.71,2,,67,141.0
105,"Thursday, Aug 3",NYY,Home,KCA,L,1.0,6.0,9.0,67-37,1.0,up 1.5,Shaw,Daley,None,2:39,N,12584.0,5.61,-1,,67,136.0
106,"Friday, Aug 4",NYY,Home,MIN,W,8.0,5.0,10.0,68-37,1.0,up 1.5,Arroyo,Pleis,None,2:41,N,24109.0,5.89,1,,68,139.0
107,"Saturday, Aug 5",NYY,Home,MIN,W,2.0,1.0,9.0,69-37,1.0,up 1.5,Coates,Kralick,None,2:42,D,18880.0,6.02,2,,69,140.0
