,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled,win-count
72,"Thursday, Jun 25",NYY,@,ATL,W,6.0,0.0,9.0,53-19,1.0,up10.0,Wells,Neagle,None,2:58,N,49052.0,.13,2,,53
73,"Friday, Jun 26",NYY,@,NYM,W,8.0,4.0,9.0,54-19,1.0,up10.0,Mendoza,Leiter,Rivera,3:15,N,53404.0,.11,3,,54
74,"Saturday, Jun 27",NYY,@,NYM,W,7.0,2.0,9.0,55-19,1.0,up10.0,Pettitte,Jones,None,3:23,D,53587.0,.10,4,,55
75,"Sunday, Jun 28",NYY,@,NYM,L,1.0,2.0,9.0,55-20,1.0,up10.0,Cook,Mendoza,None,3:00,N,53749.0,.08,-1,,55
76,"Tuesday, Jun 30",NYY,Home,PHI,W,9.0,2.0,9.0,56-20,1.0,up10.0,Cone,Loewer,None,2:22,N,29087.0,.08,1,,56
77,"Wednesday, Jul 1",NYY,Home,PHI,W,5.0,2.0,9.0,57-20,1.0,up10.0,Wells,Beech,Rivera,2:50,N,28919.0,.07,2,,57
78,"Thursday, Jul 2",NYY,Home,PHI,W,9.0,8.0,11.0,58-20,1.0,up10.0,Buddie,Spradlin,None,4:03,N,31259.0,.05,3,,58
79,"Friday, Jul 3",NYY,Home,BAL,W,3.0,2.0,9.0,59-20,1.0,up10.0,Pettitte,Orosco,None,3:20,N,43328.0,.04,4,,59
80,"Saturday, Jul 4",NYY,Home,BAL,W,4.0,3.0,9.0,60-20,1.0,up11.0,Hernandez,Drabek,Rivera,3:00,D,37390.0,.03,5,,60
81,"Sunday, Jul 5",NYY,Home,BAL,W,1.0,0.0,9.0,61-20,1.0,up11.0,Cone,Erickson,Rivera,2:30,D,52506.0,.02,6,,61
82,"Thursday, Jul 9",NYY,@,TBD,W,2.0,0.0,9.0,62-20,1.0,up12.0,Pettitte,Rekar,Rivera,2:46,N,38386.0,.02,7,,62
83,"Friday, Jul 10",NYY,@,TBD,W,8.0,4.0,9.0,63-20,1.0,up13.0,Irabu,Alvarez,Mendoza,3:18,N,40363.0,.01,8,,63
84,"Saturday, Jul 11",NYY,@,TBD,W,2.0,0.0,9.0,64-20,1.0,up14.0,Cone,Arrojo,Rivera,2:37,N,44589.0,.01,9,,64
85,"Sunday, Jul 12",NYY,@,TBD,W,9.0,2.0,9.0,65-20,1.0,up15.0,Stanton,Hernandez,None,3:26,D,43373.0,.00,10,,65
86,"Monday, Jul 13",NYY,@,CLE,L,1.0,4.0,9.0,65-21,1.0,up14.0,Wright,Hernandez,Jackson,2:54,N,43177.0,.00,-1,,65
87,"Tuesday, Jul 14",NYY,@,CLE,W,7.0,1.0,9.0,66-21,1.0,up15.0,Pettitte,Burba,None,2:49,N,43164.0,.00,1,,66
88,"Wednesday, Jul 15",NYY,@,DET,W,11.0,0.0,9.0,67-21,1.0,up15.0,Irabu,Greisinger,None,2:49,N,19868.0,.00,2,,67
89,"Thursday, Jul 16",NYY,@,DET,L,1.0,3.0,9.0,67-22,1.0,up14.0,Moehler,Cone,Jones,2:27,N,21336.0,.00,-1,,67
90,"Friday, Jul 17",NYY,@,TOR,L,6.0,9.0,9.0,67-23,1.0,up14.0,Clemens,Holmes,Myers,3:27,N,39172.0,.00,-2,,67
91,"Saturday, Jul 18",NYY,@,TOR,W,10.0,3.0,9.0,68-23,1.0,up14.0,Hernandez,Guzman,None,3:34,D,48123.0,.00,1,,68
92,"Sunday, Jul 19",NYY,@,TOR,L,3.0,9.0,9.0,68-24,1.0,up14.0,Williams,Pettitte,None,3:06,D,42176.0,.00,-1,,68
93,"Monday, Jul 20 (1)",NYY,Home,DET,L,3.0,4.0,17.0,68-25,1.0,up14.0,Sager,Holmes,None,5:50,D,,.00,-2,1998-04-26 (Rain; Site change),68
94,"Monday, Jul 20 (2)",NYY,Home,DET,W,4.0,3.0,9.0,69-25,1.0,up14.0,Irabu,Florie,Rivera,2:45,N,36285.0,.00,1,,69
95,"Tuesday, Jul 21",NYY,Home,DET,W,5.0,1.0,9.0,70-25,1.0,up14.5,Cone,Moehler,None,2:40,N,35980.0,.00,2,,70
96,"Wednesday, Jul 22",NYY,Home,DET,W,13.0,2.0,9.0,71-25,1.0,up15.5,Hernandez,Powell,Holmes,2:52,D,49029.0,.00,3,,71
97,"Friday, Jul 24",NYY,Home,CHW,W,5.0,4.0,9.0,72-25,1.0,up16.0,Pettitte,Ward,Rivera,2:44,N,44264.0,.00,4,,72
98,"Saturday, Jul 25",NYY,Home,CHW,L,2.0,6.0,9.0,72-26,1.0,up15.0,Sirotka,Irabu,Simas,3:13,D,55638.0,.00,-1,,72
99,"Sunday, Jul 26",NYY,Home,CHW,W,6.0,3.0,9.0,73-26,1.0,up15.0,Wells,Navarro,Rivera,2:51,D,51865.0,.00,1,,73
100,"Tuesday, Jul 28",NYY,@,ANA,W,9.0,3.0,9.0,74-26,1.0,up15.0,Cone,Dickson,None,2:57,N,36241.0,.00,2,,74
101,"Wednesday, Jul 29",NYY,@,ANA,L,5.0,10.0,9.0,74-27,1.0,up14.0,Sparks,Hernandez,None,3:08,N,38829.0,.00,-1,,74
102,"Thursday, Jul 30",NYY,@,ANA,W,3.0,0.0,10.0,75-27,1.0,up15.0,Mendoza,DeLucia,Rivera,3:55,N,42915.0,.00,1,,75
103,"Friday, Jul 31",NYY,@,SEA,W,5.0,3.0,9.0,76-27,1.0,up15.0,Irabu,Fassero,Rivera,2:39,N,43837.0,.00,2,,76
104,"Saturday, Aug 1",NYY,@,SEA,W,5.0,2.0,9.0,77-27,1.0,up15.0,Wells,Moyer,None,2:46,D,53840.0,.00,3,,77
105,"Sunday, Aug 2",NYY,@,SEA,L,3.0,6.0,9.0,77-28,1.0,up14.0,Wells,Cone,Timlin,2:49,N,47872.0,.00,-1,,77
106,"Monday, Aug 3",NYY,@,OAK,W,14.0,1.0,9.0,78-28,1.0,up15.0,Hernandez,Oquist,None,2:38,N,18209.0,.00,1,,78
107,"Tuesday, Aug 4 (1)",NYY,@,OAK,W,10.0,4.0,9.0,79-28,1.0,up15.5,Mendoza,Witasick,Stanton,3:01,D,,.00,2,1998-04-03 (Rain),79
108,"Tuesday, Aug 4 (2)",NYY,@,OAK,W,10.0,5.0,9.0,80-28,1.0,up15.5,Lloyd,Taylor,None,3:09,N,23357.0,.00,3,,80
109,"Wednesday, Aug 5",NYY,@,OAK,L,1.0,3.0,9.0,80-29,1.0,up15.0,Candiotti,Irabu,None,2:16,N,22458.0,.00,-1,,80
110,"Friday, Aug 7 (1)",NYY,Home,KCR,W,8.0,2.0,9.0,81-29,1.0,up17.0,Cone,Rapp,None,3:00,D,14425.0,.00,1,1998-05-11 (Rain),81
111,"Friday, Aug 7 (2)",NYY,Home,KCR,W,14.0,2.0,9.0,82-29,1.0,up17.0,Wells,Haney,None,2:49,N,37988.0,.00,2,,82
112,"Saturday, Aug 8",NYY,Home,KCR,W,14.0,1.0,9.0,83-29,1.0,up17.0,Hernandez,Rusch,None,2:48,D,45975.0,.00,3,,83
113,"Sunday, Aug 9",NYY,Home,KCR,W,5.0,4.0,9.0,84-29,1.0,up17.0,Mendoza,Service,Rivera,2:46,D,55911.0,.00,4,,84
114,"Monday, Aug 10",NYY,Home,MIN,W,7.0,3.0,9.0,85-29,1.0,up17.5,Irabu,Rodriguez,None,2:42,N,29600.0,.00,5,,85
115,"Tuesday, Aug 11",NYY,Home,MIN,W,7.0,0.0,9.0,86-29,1.0,up17.5,Wells,Milton,None,2:32,N,37413.0,.00,6,,86
116,"Wednesday, Aug 12",NYY,Home,MIN,W,11.0,2.0,9.0,87-29,1.0,up18.5,Cone,Hawkins,None,3:04,D,47841.0,.00,7,,87
117,"Thursday, Aug 13",NYY,Home,TEX,W,2.0,0.0,9.0,88-29,1.0,up18.5,Hernandez,Helling,Rivera,2:30,N,53835.0,.00,8,,88
118,"Friday, Aug 14",NYY,Home,TEX,W,6.0,4.0,9.0,89-29,1.0,up18.5,Pettitte,Sele,Rivera,2:47,N,46547.0,.00,9,,89
119,"Saturday, Aug 15",NYY,Home,TEX,L,5.0,16.0,9.0,89-30,1.0,up18.5,Stottlemyre,Irabu,None,3:48,D,53117.0,.00,-1,,89
120,"Sunday, Aug 16",NYY,Home,TEX,W,6.0,5.0,9.0,90-30,1.0,up19.5,Rivera,Hernandez,None,3:18,D,50304.0,.00,1,,90
121,"Monday, Aug 17",NYY,@,KCR,W,7.0,1.0,9.0,91-30,1.0,up20.0,Cone,Rosado,None,2:47,N,27895.0,.00,2,,91
122,"Tuesday, Aug 18",NYY,@,KCR,W,3.0,2.0,13.0,92-30,1.0,up19.5,Borowski,Whisenant,None,3:58,N,26259.0,.00,3,,92
123,"Wednesday, Aug 19",NYY,@,MIN,L,3.0,5.0,9.0,92-31,1.0,up18.5,Serafini,Pettitte,Aguilera,3:18,N,17923.0,.00,-1,,92
124,"Thursday, Aug 20",NYY,@,MIN,L,4.0,9.0,9.0,92-32,1.0,up18.5,Rodriguez,Buddie,None,2:58,N,18548.0,.00,-2,,92
125,"Friday, Aug 21",NYY,@,TEX,W,5.0,0.0,9.0,93-32,1.0,up18.5,Wells,Loaiza,None,2:42,N,45841.0,.00,1,,93
126,"Saturday, Aug 22",NYY,@,TEX,W,12.0,9.0,9.0,94-32,1.0,up19.5,Bradley,Hernandez,Rivera,3:57,N,46483.0,.00,2,,94
127,"Sunday, Aug 23",NYY,@,TEX,L,10.0,12.0,9.0,94-33,1.0,up18.5,Helling,Hernandez,Wetteland,3:40,N,37284.0,.00,-1,,94
128,"Monday, Aug 24",NYY,Home,ANA,L,3.0,7.0,9.0,94-34,1.0,up18.0,McDowell,Pettitte,None,3:01,N,19297.0,.00,-2,1998-04-13 (Stadium structural problems),94
129,"Tuesday, Aug 25",NYY,Home,ANA,L,6.0,7.0,9.0,94-35,1.0,up17.0,Watson,Stanton,Percival,4:12,N,30422.0,.00,-3,,94
130,"Wednesday, Aug 26 (1)",NYY,Home,ANA,L,4.0,6.0,9.0,94-36,1.0,up16.5,Juden,Bradley,Percival,3:16,D,20077.0,.00,-4,1998-04-14 (Stadium structural problems),94
131,"Wednesday, Aug 26 (2)",NYY,Home,ANA,W,7.0,6.0,9.0,95-36,1.0,up16.5,Rivera,Fetters,None,3:16,N,28837.0,.00,1,,95
132,"Thursday, Aug 27",NYY,Home,ANA,W,6.0,5.0,11.0,96-36,1.0,up17.5,Tessmer,Fetters,None,4:26,N,29213.0,.00,2,,96
133,"Friday, Aug 28",NYY,Home,SEA,W,10.0,3.0,9.0,97-36,1.0,up18.5,Hernandez,Spoljaric,None,2:59,N,49789.0,.00,3,,97
134,"Saturday, Aug 29",NYY,Home,SEA,W,11.0,6.0,9.0,98-36,1.0,up18.5,Pettitte,Cloude,None,3:26,D,55146.0,.00,4,,98
135,"Sunday, Aug 30",NYY,Home,SEA,L,3.0,13.0,9.0,98-37,1.0,up18.5,Swift,Irabu,None,3:15,D,55341.0,.00,-1,,98
136,"Tuesday, Sep 1",NYY,Home,OAK,W,7.0,0.0,9.0,99-37,1.0,up19.0,Wells,Candiotti,None,2:24,N,29632.0,.00,1,,99
137,"Wednesday, Sep 2",NYY,Home,OAK,L,0.0,2.0,9.0,99-38,1.0,up18.0,Heredia,Cone,Taylor,2:57,N,30332.0,.00,-1,,99
138,"Friday, Sep 4",NYY,@,CHW,W,11.0,6.0,9.0,100-38,1.0,up19.5,Lloyd,Bradford,None,3:27,N,19876.0,.00,1,,100
139,"Saturday, Sep 5",NYY,@,CHW,L,5.0,9.0,9.0,100-39,1.0,up19.5,Abbott,Pettitte,None,2:48,N,33092.0,.00,-1,,100
140,"Sunday, Sep 6",NYY,@,CHW,L,5.0,6.0,9.0,100-40,1.0,up19.5,Baldwin,Irabu,Howry,2:54,D,24498.0,.00,-2,,100
141,"Monday, Sep 7",NYY,@,BOS,L,3.0,4.0,9.0,100-41,1.0,up18.5,Swindell,Wells,Gordon,2:46,N,32106.0,.00,-3,,100
142,"Tuesday, Sep 8",NYY,@,BOS,W,3.0,2.0,9.0,101-41,1.0,up19.5,Cone,Martinez,Rivera,3:19,N,33409.0,.00,1,,101
143,"Wednesday, Sep 9",NYY,@,BOS,W,7.0,5.0,9.0,102-41,1.0,up20.5,Mendoza,Wakefield,Rivera,2:45,N,32942.0,.00,2,,102
144,"Thursday, Sep 10",NYY,Home,TOR,W,8.0,5.0,9.0,103-41,1.0,up21.0,Pettitte,Hentgen,Holmes,3:09,N,25881.0,.00,3,,103
145,"Friday, Sep 11",NYY,Home,TOR,L,4.0,5.0,9.0,103-42,1.0,up20.0,Almanzar,Irabu,Person,3:24,N,35856.0,.00,-1,,103
146,"Saturday, Sep 12",NYY,Home,TOR,L,3.0,5.0,9.0,103-43,1.0,up20.0,Carpenter,Wells,Person,2:34,D,48752.0,.00,-2,,103
147,"Sunday, Sep 13",NYY,Home,TOR,L,3.0,5.0,9.0,103-44,1.0,up20.0,Escobar,Cone,Person,3:31,D,47471.0,.00,-3,,103
148,"Monday, Sep 14",NYY,Home,BOS,W,3.0,0.0,9.0,104-44,1.0,up21.0,Hernandez,Martinez,None,2:34,N,42735.0,.00,1,,104
149,"Tuesday, Sep 15",NYY,Home,BOS,L,4.0,9.0,9.0,104-45,1.0,up20.0,Wakefield,Jerzembeck,None,2:56,N,43218.0,.00,-1,,104
150,"Wednesday, Sep 16",NYY,@,TBD,L,0.0,7.0,9.0,104-46,1.0,up19.0,Saunders,Pettitte,None,3:08,N,38862.0,.00,-2,,104
151,"Thursday, Sep 17",NYY,@,TBD,W,4.0,0.0,9.0,105-46,1.0,up19.0,Irabu,Santana,None,2:53,N,38820.0,.00,1,,105
152,"Friday, Sep 18",NYY,@,BAL,W,15.0,5.0,9.0,106-46,1.0,up20.0,Wells,Guzman,None,3:52,N,48113.0,.00,2,,106
153,"Saturday, Sep 19",NYY,@,BAL,L,3.0,5.0,9.0,106-47,1.0,up20.0,Ponson,Cone,Mills,3:04,D,48044.0,.00,-1,,106
154,"Sunday, Sep 20",NYY,@,BAL,W,5.0,4.0,9.0,107-47,1.0,up21.0,Hernandez,Johns,Rivera,3:33,N,48013.0,.00,1,,107
155,"Monday, Sep 21",NYY,Home,CLE,L,1.0,4.0,9.0,107-48,1.0,up20.5,Nagy,Pettitte,Shuey,2:48,N,21449.0,.00,-1,1998-06-12 (Rain),107
156,"Tuesday, Sep 22 (1)",NYY,Home,CLE,W,10.0,4.0,9.0,108-48,1.0,up21.0,Mendoza,Burba,None,2:52,D,14840.0,.00,1,1998-06-13 (Rain),108
157,"Tuesday, Sep 22 (2)",NYY,Home,CLE,W,5.0,1.0,9.0,109-48,1.0,up21.0,Irabu,Ogea,None,2:23,N,32315.0,.00,2,,109
158,"Wednesday, Sep 23",NYY,Home,CLE,W,8.0,4.0,9.0,110-48,1.0,up21.0,Bradley,Jacome,None,2:38,N,32367.0,.00,3,,110
159,"Thursday, Sep 24",NYY,Home,TBD,W,5.0,2.0,9.0,111-48,1.0,up21.0,Buddie,Alvarez,Nelson,3:10,N,24555.0,.00,4,,111
160,"Friday, Sep 25",NYY,Home,TBD,W,6.0,1.0,9.0,112-48,1.0,up21.0,Hernandez,Eiland,None,2:49,N,32447.0,.00,5,,112
161,"Saturday, Sep 26",NYY,Home,TBD,W,3.0,1.0,9.0,113-48,1.0,up22.0,Cone,Wade,None,2:42,D,41150.0,.00,6,,113
162,"Sunday, Sep 27",NYY,Home,TBD,W,8.0,3.0,9.0,114-48,1.0,up22.0,Bruske,White,None,2:53,D,49608.0,.00,7,,114
