,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
29,29,May 17,NYY,WSA,"L,7-8",CG,5,5,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.218,.347,.356,.703,7,1.6,-0.08,4.69,-0.14%,RF,4,-0.179
30,30,May 19,NYY,CLE,"L,7-9",CG,5,5,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.226,.349,.387,.736,3,0.74,0.193,2.18,0.34%,RF,5,0.014000000000000012
31,31,May 20,NYY,CLE,"L,3-4",CG,4,1,1,1,0,0,1,2,1,0,0,1,0,1,0,0,0,0,.234,.361,.421,.781,3,1.48,0.095,3.98,0.15%,RF,6,0.10900000000000001
32,32,May 21 (1),NYY,BAL,"W,4-2",CG,4,4,1,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.252,.372,.459,.832,3,0.56,0.154,1.34,0.22%,RF,7,0.263
33,33,May 21 (2),NYY,BAL,"L,2-3",CG,4,2,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,.248,.369,.451,.820,3,1.16,0.022,3.15,0.04%,RF,7,0.28500000000000003
34,34,May 22,NYY,BAL,"W,8-2",GS-1,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,0,.248,.369,.451,.820,3,,,,,RF,7,
35,35,May 24,NYY,BOS,"W,3-2",CG,4,4,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,.248,.366,.470,.836,4,1.23,0.158,2.77,0.21%,CF,8,0.44300000000000006
36,36,May 25,NYY,BOS,"W,6-4",CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.244,.369,.462,.831,4,0.25,0.01,.56,0.01%,CF,8,0.45300000000000007
37,37,May 28 (1),NYY,CHW,"L,9-14",CG,5,3,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,.238,.370,.451,.821,3,0.91,-0.076,2.34,-0.12%,RF,8,0.37700000000000006
38,38,May 28 (2),NYY,CHW,"W,5-3",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,.238,.367,.468,.835,4,1.08,-0.062,2.45,-0.08%,CF RF,9,0.31500000000000006
39,39,May 29,NYY,BOS,"L,1-2",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.231,.358,.454,.812,3,1.71,-0.168,4.61,-0.27%,RF,9,0.14700000000000005
40,40,May 30,NYY,BOS,"W,12-3",CG,5,5,3,3,0,0,2,4,0,0,0,0,0,0,0,0,0,0,.244,.365,.504,.869,3,0.58,0.115,1.53,0.18%,RF,11,0.26200000000000007
41,41,May 31,NYY,BOS,"W,7-6",CG,5,4,2,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,.245,.366,.518,.884,3,0.92,0.195,2.35,0.30%,RF,12,0.4570000000000001
43,42,Jun 1,NYY,BOS,"L,5-7",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.238,.362,.503,.865,3,0.81,-0.074,2.40,-0.13%,RF,12,0.38300000000000006
44,43,Jun 2,NYY,CHW,"W,6-2",CG,4,4,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.238,.359,.517,.876,3,0.56,0.16,1.51,0.26%,RF,13,0.543
45,44,Jun 3,NYY,CHW,"L,5-6",CG(13),5,5,1,1,0,0,1,3,0,0,0,0,0,0,1,1,0,0,.237,.355,.526,.881,3,1.89,0.231,5.45,0.40%,RF,14,0.774
46,45,Jun 4,NYY,CHW,"W,10-1",CG,5,4,2,2,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.244,.361,.545,.906,3,0.27,0.07,.67,0.10%,RF,15,0.8440000000000001
47,46,Jun 5 (1),NYY,MIN,"W,6-2",CG,4,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.239,.359,.535,.894,3,1.0,-0.031,2.28,-0.04%,RF,15,0.8130000000000001
48,47,Jun 5 (2),NYY,MIN,"W,6-1",CG,4,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,.236,.362,.528,.890,3,0.45,-0.011,1.15,-0.02%,RF,15,0.802
49,48,Jun 6,NYY,MIN,"W,7-2",CG,5,4,1,1,0,0,1,4,0,0,1,0,0,1,0,0,0,0,.236,.358,.539,.897,3,0.73,0.001,2.06,0.00%,RF,16,0.803
50,49,Jun 7,NYY,MIN,"W,5-1",CG,4,4,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,.237,.356,.550,.906,3,0.89,0.286,2.79,0.54%,RF,17,1.089
51,50,Jun 8 (1),NYY,KCA,"W,6-1",CG,4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.233,.354,.541,.894,3,0.43,-0.003,1.45,-0.01%,RF,17,1.086
52,51,Jun 8 (2),NYY,KCA,"L,6-9",CG,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.226,.346,.525,.871,3,0.67,-0.103,2.41,-0.22%,RF,17,0.9830000000000001
53,52,Jun 9,NYY,KCA,"W,8-6",CG,4,4,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,.232,.348,.541,.890,3,1.08,0.207,3.77,0.43%,RF,18,1.1900000000000002
54,53,Jun 10,NYY,KCA,"W,5-3",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.227,.342,.530,.872,3,1.12,-0.035,4.15,-0.08%,RF,18,1.1550000000000002
55,54,Jun 11 (1),NYY,LAA,"W,2-1",CG,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.228,.341,.524,.864,3,0.48,-0.042,1.74,-0.09%,RF,18,1.1130000000000002
56,55,Jun 11 (2),NYY,LAA,"W,5-1",CG,4,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,.233,.343,.554,.898,3,0.67,0.019,2.61,0.04%,RF,20,1.1320000000000001
57,56,Jun 12,NYY,LAA,"W,3-1",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.234,.342,.548,.890,3,1.15,-0.039,4.50,-0.09%,RF,20,1.0930000000000002
58,57,Jun 13,NYY,CLE,"L,2-7",CG,4,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.234,.340,.557,.897,3,0.48,-0.038,2.90,-0.14%,RF,21,1.0550000000000002
59,58,Jun 14,NYY,CLE,"W,11-5",CG,5,4,2,1,0,0,1,2,1,0,0,0,0,0,0,2,0,0,.234,.341,.566,.907,3,0.84,0.152,4.69,0.51%,RF,22,1.207
60,59,Jun 15,NYY,CLE,"W,3-2",CG(11),5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.238,.343,.562,.905,3,1.36,-0.077,8.05,-0.27%,RF,22,1.1300000000000001
61,60,Jun 16,NYY,DET,"L,2-4",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.234,.337,.551,.889,3,0.69,-0.072,4.37,-0.27%,RF,22,1.058
62,61,Jun 17,NYY,DET,"L,10-12",CG,5,5,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,.237,.338,.566,.905,3,0.45,-0.047,2.55,-0.16%,RF,23,1.0110000000000001
