,Gtm,Date,Tm,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,aLI,WPA,acLI,cWPA,Pos,HR_count,WPA_count
125,123,Aug 20 (1),NYY,CLE,"W,6-0",CG,5,3,2,1,0,0,1,2,2,0,1,0,0,0,0,0,0,0,.280,.378,.649,1.027,3,0.46,0.123,2.61,0.42%,RF,49,5.774
126,124,Aug 20 (2),NYY,CLE,"W,5-2",CG,4,2,1,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,.279,.379,.646,1.025,3,0.8,0.04,4.28,0.13%,RF,49,5.814
127,125,Aug 22,NYY,LAA,"L,3-4",CG,4,3,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,.281,.382,.653,1.034,3,0.77,0.196,4.32,0.66%,RF,50,6.01
128,126,Aug 23,NYY,LAA,"W,8-6",CG(10),6,3,3,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,.282,.385,.655,1.040,3,1.81,0.441,11.67,1.70%,RF,50,6.451
129,127,Aug 24,NYY,LAA,"L,4-6",CG,5,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,.279,.381,.649,1.031,3,1.68,-0.257,9.67,-0.89%,RF,50,6.194
130,128,Aug 25,NYY,KCA,"W,3-0",CG,4,3,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,.277,.380,.645,1.026,3,0.95,-0.03,6.28,-0.12%,RF,50,6.164
131,129,Aug 26,NYY,KCA,"W,5-1",CG,5,4,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,.277,.381,.648,1.029,3,0.7,-0.022,4.56,-0.09%,RF,51,6.1419999999999995
132,130,Aug 27,NYY,KCA,"W,8-7",CG,5,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,.275,.379,.643,1.022,3,0.54,-0.03,3.14,-0.10%,RF,51,6.111999999999999
133,131,Aug 29,NYY,MIN,"L,0-3",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,.273,.378,.639,1.017,3,0.45,0.013,3.14,0.06%,RF,51,6.124999999999999
134,132,Aug 30,NYY,MIN,"W,4-0",CG,4,3,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,.273,.379,.637,1.016,3,0.7,0.074,4.87,0.31%,RF,51,6.198999999999999
135,133,Aug 31,NYY,MIN,"L,4-5",CG,5,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.271,.377,.631,1.009,3,1.37,-0.145,8.64,-0.55%,RF,51,6.053999999999999
137,134,Sep 1,NYY,DET,"W,1-0",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,.269,.375,.626,1.001,3,1.48,-0.18,20.97,-1.53%,RF,51,5.874
138,135,Sep 2,NYY,DET,"W,7-2",CG,4,4,3,3,1,0,2,3,0,0,0,0,0,0,0,0,0,0,.273,.377,.642,1.019,3,0.82,0.329,10.61,2.56%,RF,53,6.202999999999999
139,136,Sep 3,NYY,DET,"W,8-5",CG,4,4,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,.273,.376,.638,1.015,3,0.47,-0.038,4.98,-0.24%,RF,53,6.164999999999999
140,137,Sep 4 (1),NYY,WSA,"W,5-3",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.374,.633,1.007,3,1.26,-0.155,5.18,-0.38%,CF RF,53,6.009999999999999
141,138,Sep 4 (2),NYY,WSA,"W,3-2",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.268,.371,.628,1.000,3,0.73,-0.085,2.57,-0.18%,CF,53,5.924999999999999
142,139,Sep 5,NYY,WSA,"W,6-1",CG,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,.266,.369,.623,.992,3,0.57,-0.078,1.06,-0.09%,RF,53,5.846999999999999
143,140,Sep 6,NYY,WSA,"W,8-0",CG,4,3,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,.267,.370,.627,.997,3,0.3,0.124,.33,0.08%,RF,54,5.970999999999998
144,141,Sep 7,NYY,CLE,"W,7-3",CG,4,3,2,3,0,0,1,3,0,0,0,0,0,1,0,0,0,0,.271,.372,.635,1.008,3,0.98,0.238,.78,0.12%,RF,55,6.208999999999998
145,142,Sep 8,NYY,CLE,"W,9-1",CG,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,.269,.372,.632,1.003,3,0.61,0.01,.24,0.00%,RF CF,55,6.218999999999998
146,143,Sep 9,NYY,CLE,"W,8-7",CG,5,5,1,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.271,.372,.635,1.007,3,1.55,-0.022,.22,0.00%,RF,56,6.196999999999997
147,144,Sep 10 (1),NYY,CLE,"W,7-6",CG,4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,.271,.373,.634,1.006,3,1.1,0.088,.15,0.01%,RF,56,6.2849999999999975
148,145,Sep 10 (2),NYY,CLE,"W,9-3",CG,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.271,.373,.632,1.005,3,0.68,0.01,.07,0.00%,RF,56,6.294999999999997
149,146,Sep 12,NYY,CHW,"W,4-3",CG(6),4,3,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,.272,.374,.630,1.004,3,1.15,-0.032,.03,0.00%,RF,56,6.262999999999997
150,147,Sep 14 (1),NYY,CHW,"L,3-8",CG,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,.273,.375,.629,1.004,3,0.76,0.067,.02,0.00%,RF,56,6.329999999999997
151,148,Sep 14 (2),NYY,CHW,"L,3-4",CG,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.273,.374,.626,1.001,3,0.77,-0.065,.03,0.00%,RF,56,6.264999999999997
152,149,Sep 15 (1),NYY,DET,"W,11-1",CG,5,5,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,.271,.371,.621,.992,3,0.64,-0.081,.03,0.00%,RF,56,6.183999999999997
153,150,Sep 15 (2),NYY,DET,"L,2-4",CG,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.271,.371,.618,.988,3,0.71,-0.035,.00,0.00%,RF,56,6.1489999999999965
154,151,Sep 16,NYY,DET,"L,4-10",CG,4,3,1,1,0,0,1,2,1,0,1,0,0,0,0,0,0,0,.271,.371,.622,.993,3,0.77,0.175,.00,0.00%,RF,57,6.323999999999996
155,152,Sep 17,NYY,DET,"W,6-4",CG(12),6,4,1,2,0,1,1,3,2,0,1,0,0,0,0,0,0,0,.273,.374,.630,1.004,3,1.39,0.613,.01,0.00%,RF,58,6.936999999999996
156,153,Sep 19 (1),NYY,BAL,"L,0-1",CG,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.271,.373,.627,1.000,3,1.96,-0.135,.00,0.00%,RF,58,6.801999999999996
157,154,Sep 19 (2),NYY,BAL,"W,3-1",CG,5,5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.270,.372,.623,.995,3,0.72,-0.051,.00,0.00%,CF,58,6.750999999999996
158,155,Sep 20,NYY,BAL,"W,4-2",CG,5,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.270,.371,.624,.995,3,0.54,0.055,.00,0.00%,CF,59,6.805999999999996
159,156,Sep 21,NYY,BAL,"L,3-5",CG,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,.268,.368,.620,.988,3,0.85,-0.085,.00,0.00%,CF,59,6.720999999999996
160,157,Sep 23,NYY,BOS,"W,8-3",CG,5,3,2,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,.268,.370,.618,.989,3,1.37,0.115,.00,0.00%,RF CF,59,6.835999999999996
161,158,Sep 24,NYY,BOS,"L,1-3",GS-8,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.269,.371,.617,.988,3,0.86,-0.002,.00,0.00%,RF CF,59,6.833999999999996
162,159,Sep 26,NYY,BAL,"W,3-2",CG,4,4,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,.270,.372,.621,.993,3,1.31,0.017,.00,0.00%,RF CF,60,6.850999999999996
163,161 (1),Sep 29,NYY,BOS,"W,2-1",CG,4,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,.269,.372,.619,.992,3,1.27,0.068,.00,0.00%,CF,60,6.918999999999996
164,162,Sep 30,NYY,BOS,"W,3-1",GS-9,4,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.270,.373,.618,.991,3,0.91,0.005,.00,0.00%,CF,60,6.923999999999996
165,163,Oct 1,NYY,BOS,"W,1-0",CG,4,4,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,.269,.372,.620,.993,3,0.82,0.077,.00,0.00%,CF,61,7.000999999999996
